OrderID,OrderDate,OrderTotal,CookieID,CookieName,RevenuePerCookie,Total Revenue,CostPerCookie,Total Costs,Quantity,Profit,CustomerID,CustomerName,Phone,Address,City,State,Zip,Country,Notes
1,31-12-21,1815,1,Chocolate Chip,5,1145,2,458,229,687,#NAME?,Park & Shop Convenience Stores,251-655-2909,2217 Lonely Oak Drive,Mobile,AL,36602,United States,"New customer, make sure to please them! Very frugal, so reinforce how delicious AND inexpensive our cookies are."
1,01-01-22,1815,2,Fortune Cookie,1,160,0.5,80,160,80,#NAME?,Park & Shop Convenience Stores,251-655-2909,2217 Lonely Oak Drive,Mobile,AL,36602,United States,"New customer, make sure to please them! Very frugal, so reinforce how delicious AND inexpensive our cookies are."
1,01-01-22,1815,5,Sugar,3,90,1.25,37.5,30,52.5,#NAME?,Park & Shop Convenience Stores,251-655-2909,2217 Lonely Oak Drive,Mobile,AL,36602,United States,"New customer, make sure to please them! Very frugal, so reinforce how delicious AND inexpensive our cookies are."
1,01-01-22,1815,3,Oatmeal Raisin,5,420,2.2,184.8,84,235.2,#NAME?,Park & Shop Convenience Stores,251-655-2909,2217 Lonely Oak Drive,Mobile,AL,36602,United States,"New customer, make sure to please them! Very frugal, so reinforce how delicious AND inexpensive our cookies are."
2,02-01-22,964,4,Snickerdoodle,4,196,1.5,73.5,49,122.5,#NAME?,Park & Shop Convenience Stores,251-655-2909,2217 Lonely Oak Drive,Mobile,AL,36602,United States,"New customer, make sure to please them! Very frugal, so reinforce how delicious AND inexpensive our cookies are."
2,02-01-22,964,6,White Chocolate Macadamia Nut,6,768,2.75,352,128,416,#NAME?,Park & Shop Convenience Stores,251-655-2909,2217 Lonely Oak Drive,Mobile,AL,36602,United States,"New customer, make sure to please them! Very frugal, so reinforce how delicious AND inexpensive our cookies are."
3,04-01-22,2238,1,Chocolate Chip,5,410,2,164,82,246,#NAME?,ABC Groceries,801-583-8695,3215 Tori Lane,Salt Lake City,UT,84113,United States,"Friendly but a little old school. Talks way too much, set a time limit on calls."
3,04-01-22,2238,5,Sugar,3,540,1.25,225,180,315,#NAME?,ABC Groceries,801-583-8695,3215 Tori Lane,Salt Lake City,UT,84113,United States,"Friendly but a little old school. Talks way too much, set a time limit on calls."
3,04-01-22,2238,6,White Chocolate Macadamia Nut,6,108,2.75,49.5,18,58.5,#NAME?,ABC Groceries,801-583-8695,3215 Tori Lane,Salt Lake City,UT,84113,United States,"Friendly but a little old school. Talks way too much, set a time limit on calls."
3,04-01-22,2238,3,Oatmeal Raisin,5,1010,2.2,444.4,202,565.6,#NAME?,ABC Groceries,801-583-8695,3215 Tori Lane,Salt Lake City,UT,84113,United States,"Friendly but a little old school. Talks way too much, set a time limit on calls."
3,04-01-22,2238,2,Fortune Cookie,1,170,0.5,85,170,85,#NAME?,ABC Groceries,801-583-8695,3215 Tori Lane,Salt Lake City,UT,84113,United States,"Friendly but a little old school. Talks way too much, set a time limit on calls."
4,06-01-22,737,4,Snickerdoodle,4,328,1.5,123,82,205,#NAME?,Tres Delicious,999-999-9999,123 Main Street,Seattle,WA,98112,United States,"High maintenance, not sure if it's worth having them as a customer, but don't tell them that!"
4,06-01-22,737,3,Oatmeal Raisin,5,125,2.2,55,25,70,#NAME?,Tres Delicious,999-999-9999,123 Main Street,Seattle,WA,98112,United States,"High maintenance, not sure if it's worth having them as a customer, but don't tell them that!"
4,06-01-22,737,2,Fortune Cookie,1,209,0.5,104.5,209,104.5,#NAME?,Tres Delicious,999-999-9999,123 Main Street,Seattle,WA,98112,United States,"High maintenance, not sure if it's worth having them as a customer, but don't tell them that!"
4,06-01-22,737,5,Sugar,3,75,1.25,31.25,25,43.75,#NAME?,Tres Delicious,999-999-9999,123 Main Street,Seattle,WA,98112,United States,"High maintenance, not sure if it's worth having them as a customer, but don't tell them that!"
5,09-01-22,569,5,Sugar,3,33,1.25,13.75,11,19.25,#NAME?,Wholesome Foods,347-789-7688,1521 Redbud Drive,Huntington,NY,11743,United States,"CEO has three kids, first one is Charles, don't know the rest. CEO cares about Charles the most, so all good."
5,09-01-22,569,1,Chocolate Chip,5,230,2,92,46,138,#NAME?,Wholesome Foods,347-789-7688,1521 Redbud Drive,Huntington,NY,11743,United States,"CEO has three kids, first one is Charles, don't know the rest. CEO cares about Charles the most, so all good."
5,09-01-22,569,6,White Chocolate Macadamia Nut,6,306,2.75,140.25,51,165.75,#NAME?,Wholesome Foods,347-789-7688,1521 Redbud Drive,Huntington,NY,11743,United States,"CEO has three kids, first one is Charles, don't know the rest. CEO cares about Charles the most, so all good."
6,09-01-22,1586,1,Chocolate Chip,5,1070,2,428,214,642,#NAME?,Wholesome Foods,347-789-7688,1521 Redbud Drive,Huntington,NY,11743,United States,"CEO has three kids, first one is Charles, don't know the rest. CEO cares about Charles the most, so all good."
6,09-01-22,1586,3,Oatmeal Raisin,5,120,2.2,52.8,24,67.2,#NAME?,Wholesome Foods,347-789-7688,1521 Redbud Drive,Huntington,NY,11743,United States,"CEO has three kids, first one is Charles, don't know the rest. CEO cares about Charles the most, so all good."
6,09-01-22,1586,6,White Chocolate Macadamia Nut,6,396,2.75,181.5,66,214.5,#NAME?,Wholesome Foods,347-789-7688,1521 Redbud Drive,Huntington,NY,11743,United States,"CEO has three kids, first one is Charles, don't know the rest. CEO cares about Charles the most, so all good."
7,09-01-22,210,2,Fortune Cookie,1,210,0.5,105,210,105,#NAME?,Wholesome Foods,347-789-7688,1521 Redbud Drive,Huntington,NY,11743,United States,"CEO has three kids, first one is Charles, don't know the rest. CEO cares about Charles the most, so all good."
8,11-01-22,2424,2,Fortune Cookie,1,114,0.5,57,114,57,#NAME?,Park & Shop Convenience Stores,251-655-2909,2217 Lonely Oak Drive,Mobile,AL,36602,United States,"New customer, make sure to please them! Very frugal, so reinforce how delicious AND inexpensive our cookies are."
8,11-01-22,2424,5,Sugar,3,318,1.25,132.5,106,185.5,#NAME?,Park & Shop Convenience Stores,251-655-2909,2217 Lonely Oak Drive,Mobile,AL,36602,United States,"New customer, make sure to please them! Very frugal, so reinforce how delicious AND inexpensive our cookies are."
8,11-01-22,2424,6,White Chocolate Macadamia Nut,6,1068,2.75,489.5,178,578.5,#NAME?,Park & Shop Convenience Stores,251-655-2909,2217 Lonely Oak Drive,Mobile,AL,36602,United States,"New customer, make sure to please them! Very frugal, so reinforce how delicious AND inexpensive our cookies are."
